CNTYVTD,CruzR_18G_U.S. Sen,O'RourkeD_18G_U.S. Sen,DikemanL_18G_U.S. Sen
"0010001",659,261,6
"0010002",1062,168,7
"0010003",571,99,4
"0010004",752,97,3
"0010005",179,11,1
"0010006",263,383,4
"0010007",88,445,2
"0010008",44,105,1
"0010009",563,132,8
"0010010",231,26,1
"0010011",495,148,2
"0010013",604,259,9
"0010015",476,63,6
"0010016",351,91,3
"0010017",341,97,4
"0010018",920,185,8
"0010019",795,242,9
"0010020",409,146,6
"0010021",845,137,3
"0010022",533,99,0
"0010023",702,74,4
"0010024",452,39,3
"0030001",716,196,6
"0030002",1281,200,8
"0030003",784,202,1
"0030004",557,178,2
"0050001",125,99,0
"0050002",263,741,5
"0050003",758,165,6
"0050004",350,277,4
"0050005",513,398,6
"0050006",200,39,2
"0050007",647,82,2
"0050008A",408,49,2
"0050008B",266,32,1
"0050009",147,48,0
"0050010A",226,201,1
"0050010B",27,25,0
"0050011",1097,105,6
"0050012",389,86,1
"0050013",188,144,4
"0050014",758,316,5
"0050015",290,66,0
"0050016",438,469,6
"0050017",828,112,5
"0050018",221,111,4
"0050019",635,298,7
"0050020",144,912,7
"0050021",511,158,5
"0050022",530,85,2
"0050023",301,47,3
"0050024",981,264,14
"0050025",983,198,7
"0050026",880,116,4
"0050027",200,23,1
"0050028",533,134,6
"0050029",693,131,6
"0050030",513,42,4
"0050031",148,53,0
"0050032",53,6,0
"0050033",682,51,2
"0050034",921,347,11
"0050035",819,255,2
"0050036",0,0,0
"0050037",223,43,3
"0050038",172,35,2
"0050039",180,94,1
"0050040",277,163,4
"005011B",466,97,2
"005017B",182,13,0
"0070001",936,237,9
"0070002",1017,511,12
"0070003",1895,647,12
"0070004",1726,552,16
"007001A",550,154,5
"007004A",553,146,2
"0090001",608,61,5
"0090002",529,56,2
"0090003",193,27,2
"0090004",379,17,0
"0090005",83,5,1
"0090006",528,80,5
"0090007",121,9,1
"0090008",180,30,0
"0090009",95,9,0
"0090010",429,72,2
"0090011",63,10,0
"0110101",225,15,0
"0110201",114,20,2
"0110202",43,7,0
"0110301",170,8,2
"0110303",26,10,0
"0110401",121,8,1
"0110402",101,6,1
"0110404",19,0,0
"0130001",280,94,3
"0130002",276,213,9
"0130003",396,237,8
"0130004",49,17,0
"0130005",358,343,8
"0130006",50,1,1
"0130007",413,241,13
"0130008",168,93,2
"0130009",67,13,1
"0130010",360,221,6
"0130011",34,8,1
"0130012",358,234,5
"0130013",750,353,7
"0130014",141,51,2
"0130015",447,369,8
"0130016",80,49,2
"0130017",321,509,8
"0130018",437,258,6
"0130019",149,55,0
"0130020",1488,457,11
"0130021",126,19,0
"0130022",316,87,3
"0130023",155,126,4
"0130024",534,284,11
"0150101",576,137,9
"0150102",618,171,4
"0150103",787,127,11
"0150104",400,75,2
"0150205",920,211,9
"0150206",296,60,0
"0150207",206,28,3
"0150208",377,64,2
"0150209",319,81,3
"0150210",383,65,1
"0150211",197,30,2
"0150312",358,34,0
"0150313",232,253,2
"0150314",1097,316,11
"0150415",527,193,6
"0150416",500,164,13
"0150417",234,103,2
"0150418",695,129,4
"0170001",368,123,2
"0170002",531,88,0
"0170003",189,99,3
"0170004A",108,90,2
"0170004B",6,5,0
"0190101",824,185,10
"0190102",1283,304,15
"0190203",960,305,9
"0190204",702,234,11
"0190305",1163,241,10
"0190306",785,135,7
"0190407",1172,249,7
"0190408",134,55,1
"0190409",327,96,4
"0190410",293,61,2
"0211001",1153,824,19
"0211002",665,728,11
"0211003",2055,1575,28
"0211004",594,597,11
"0212005",870,696,21
"0212006",564,310,12
"0212007",943,352,14
"0212008",409,202,7
"0212009",418,310,16
"0212010",550,257,8
"0212011",874,635,24
"0213012",398,156,7
"0213013",604,306,12
"0213014",613,616,13
"0213015",473,771,12
"0213016",810,686,20
"0214017",605,863,18
"0214018",262,149,4
"0214019",802,673,11
"0214020",913,1094,30
"0214021",492,282,14
"0230001",306,41,5
"0230002",235,37,2
"0230003",221,37,1
"0230004",310,41,1
"0250001",601,391,10
"0250002",152,15,1
"0250003",432,287,5
"0250004",136,36,1
"0250005",127,47,0
"0250006",407,200,5
"0250008",94,29,0
"0250009",103,231,3
"0250010",212,316,7
"0250011",98,46,1
"0250012",123,52,1
"0250013",430,225,7
"0250014",86,51,0
"0250016",304,212,9
"0250017",264,246,3
"0250018",706,264,7
"0250019",67,163,4
"0270101",2702,1063,35
"0270102",1256,521,21
"0270103",1669,827,25
"0270104",3192,1119,40
"0270105",720,141,8
"0270106",683,1407,14
"0270107",184,91,2
"0270108",767,159,5
"0270109",381,581,11
"0270110",182,175,3
"0270111",1660,1067,24
"0270113",125,38,2
"0270201",760,750,12
"0270202",1790,1258,33
"0270203",3559,941,29
"0270204",413,557,6
"0270205",639,1302,15
"0270206",316,562,8
"0270207",413,971,23
"0270208",953,2039,34
"0270209",1691,2015,41
"0270210",1044,1734,26
"0270301",1626,326,17
"0270302",1245,856,14
"0270303",1233,1086,17
"0270304",334,98,5
"0270305",1090,521,8
"0270306",350,545,9
"0270307",283,778,6
"0270308",437,490,9
"0270309",414,59,1
"0270310",264,41,1
"0270311",1367,294,5
"0270312",841,165,3
"0270313",1183,492,13
"0270314",724,577,11
"0270315",2192,1281,30
"0270317",2781,1395,27
"0270401",505,168,12
"0270402",988,472,9
"0270404A",616,1272,23
"0270404B",0,0,0
"0270405",512,1469,19
"0270406",494,569,3
"0270408",864,1655,23
"0270409",439,476,6
"0270410",254,469,2
"0270412",489,1627,12
"0270413",813,1918,21
"0291001",65,344,3
"0291002",113,243,3
"0291003",125,867,12
"0291004",50,294,2
"0291005",55,240,3
"0291006",154,718,0
"0291007",127,474,2
"0291008",136,887,5
"0291009",281,495,9
"0291010",51,262,0
"0291011",48,141,0
"0291012",251,591,7
"0291013",139,807,7
"0291014",69,390,4
"0291015",89,381,3
"0291016",69,364,2
"0291017",30,54,0
"0291018",166,674,8
"0291019",61,245,5
"0291020",219,748,10
"0291021",133,523,7
"0291022",78,296,1
"0291023",120,736,7
"0291024",482,965,15
"0291025",24,154,1
"0291026",76,382,3
"0291027",45,72,1
"0291028",90,290,5
"0291029",138,611,6
"0291030",8,9,0
"0291031",92,445,2
"0291032",115,695,9
"0291033",210,471,7
"0291034",745,948,14
"0291035",104,106,3
"0291036",556,937,17
"0291037",238,667,10
"0291038",380,865,16
"0291039",162,679,6
"0291040",174,792,11
"0291041",127,590,5
"0291042",84,350,3
"0291043",194,409,6
"0291044",184,707,7
"0291045",257,1048,5
"0291046",147,678,6
"0291047",130,495,9
"0291048",187,666,7
"0291049",224,723,8
"0291050",172,428,1
"0291051",276,545,1
"0291052",224,561,6
"0291053",23,67,2
"0291054",230,720,9
"0291055",348,701,12
"0291056",359,794,21
"0291057",403,472,10
"0291058",464,541,5
"0291059",49,89,1
"0291060",196,837,3
"0291061",164,695,11
"0291062",33,29,0
"0291063",363,384,7
"0291064",231,273,5
"0291065",409,537,9
"0291066",97,191,2
"0291067",743,582,11
"0291068",208,322,6
"0291069",142,161,2
"0291070",137,290,2
"0291071",285,582,11
"0291072",212,640,11
"0291073A",610,914,13
"0291073B",79,118,3
"0291074",4,4,1
"0291075",164,553,7
"0291076",414,844,12
"0291077",128,553,2
"0291078",23,178,2
"0291079",723,1593,22
"0291080A",389,1323,9
"0291080B",4,14,0
"0291081",567,301,9
"0291082",663,1461,32
"0291083",547,947,17
"0291084",221,520,7
"0291085",160,469,6
"0291086",317,765,5
"0291087",158,425,4
"0291088",67,270,3
"0291089",271,394,3
"0291090",0,0,0
"0291091",240,713,13
"0291092",64,257,0
"0291093",164,283,3
"0291094",213,555,5
"0291095",34,49,2
"0291096",2,7,0
"0291097",76,249,2
"0291098",50,279,1
"0291099",746,1667,22
"0291100",441,882,6
"0291101",0,0,0
"0291102",228,195,8
"0291103",126,108,4
"0291104",597,1030,18
"0291105",81,150,8
"0291106",0,0,0
"0291107",449,665,12
"0291108",1232,1704,43
"0291109",2,1,0
"0291110",777,1423,21
"0291111",883,1580,27
"0291112",498,1312,20
"0291113",462,938,16
"0291114",0,0,0
"0291115",38,52,2
"0291116",273,313,4
"0291117",54,97,2
"0291118",541,708,20
"0291119",12,37,0
"0291120",3,38,0
"0291121",1061,1572,33
"0291122A",927,1338,20
"0291122B",9,14,0
"0291122C",16,25,0
"0291123",111,138,2
"0291124",100,195,5
"0291125A",421,601,12
"0291125B",0,1,0
"0291125C",8,12,0
"0291126",0,0,0
"0291127",43,177,4
"0291128",185,372,8
"0291129",89,161,3
"0291130",0,0,0
"0291131",0,0,0
"0291132",0,2,0
"0291133",1,0,0
"0291134",0,0,0
"0291135",0,0,0
"0291136",51,85,2
"0291137",0,0,0
"0291138",55,165,3
"0291139",118,331,5
"0291140",184,370,10
"0291141",291,515,14
"0291142",220,565,8
"0291143",630,814,16
"0291144A",1042,614,5
"0291144B",65,38,0
"0291144C",52,30,0
"0291145",240,174,5
"0291146",41,36,1
"0292001",34,214,4
"0292002",56,379,2
"0292003",87,586,3
"0292004",130,774,6
"0292005",83,364,6
"0292006",0,5,0
"0292007",105,502,3
"0292008",60,298,2
"0292009",215,614,10
"0292010",256,436,14
"0292011",101,592,8
"0292012",68,408,3
"0292013",97,419,2
"0292014",105,409,4
"0292015",84,487,2
"0292016",39,336,3
"0292017",44,289,3
"0292018",105,439,2
"0292019",65,480,3
"0292020",88,724,10
"0292021",158,769,2
"0292022",88,427,6
"0292023",232,1036,9
"0292024",183,551,6
"0292025",238,883,11
"0292026",308,802,4
"0292027",206,522,5
"0292028",351,911,9
"0292029",76,353,3
"0292030",77,426,3
"0292031",67,433,6
"0292032",35,169,0
"0292033",46,172,1
"0292034",49,219,8
"0292035",172,704,7
"0292036",333,793,7
